Customer_ID,Name,Email,Phone,City,Country
1,Deborah Griffith,balljoseph@wright-keith.net,1234567891,South Craigfort,Denmark
2,Crystal Clements,kimberlybennett@curtis.com,1234567891,East Derekberg,Nicaragua
3,Susan Fuller,beanmichael@burnett-stewart.net,1234567891,Austinbury,Equatorial Guinea
4,Jamie Ramirez,amandahood@warren.com,1234567891,Dianamouth,Slovenia
5,Marcus Murphy,connerjohn@yahoo.com,1234567891,Smithbury,Guinea-Bissau
6,Stephen Vasquez,ricemiguel@yahoo.com,1234567891,Hamiltonstad,Rwanda
7,Susan Hicks,jeffrey91@yahoo.com,1234567891,East Rebecca,Montenegro
8,Matthew Johnson,austinkenneth@manning.net,1234567891,Kirstenborough,Israel
9,Matthew Williams,jeffrey41@diaz.com,1234567891,Rebeccafurt,Somalia
10,Ronald Osborn,staciekelley@heath.com,1234567891,Lake Benjamin,Cameroon
11,Thomas Garcia,rmiller@gmail.com,1234567891,West Monicabury,Argentina
12,Jennifer Murray,wilsonbrittany@hotmail.com,1234567891,South Ashleychester,Zimbabwe
13,Kristine Kim,sarahwilliams@hotmail.com,1234567891,Lake Robert,Nigeria
14,John Wood,johnsonalexander@gmail.com,1234567891,Richardsonville,New Caledonia
15,Vanessa Gaines,tbullock@gmail.com,1234567891,Rodriguezmouth,Wallis and Futuna
16,Stacey Flores,jackjackson@hotmail.com,1234567891,East Michaelfurt,Saint Helena
17,Christine Maldonado,ztaylor@yahoo.com,1234567891,Smithborough,Chile
18,David Watson,laurenlawson@alvarez-mcfarland.com,1234567891,New Josephtown,Equatorial Guinea
19,Marc Nash,joshua59@gmail.com,1234567891,Davidton,French Guiana
20,Robert Salas,schultzjohn@thomas.com,1234567891,Schultzchester,Denmark
21,Edgar Frost,maria51@gmail.com,1234567891,Jonathanhaven,Saudi Arabia
22,Stacey Adams,fjohnson@gmail.com,1234567891,Clintonmouth,Iceland
23,Hannah Drake,sandersallen@hotmail.com,1234567891,Deannabury,Faroe Islands
